身長,性別,名前,上半身比率,下半身比率,骨格タイプ
156,男,岡村隆史,4.698565339,5.301434661,
157,男,虫眼鏡（東海オンエア）,4.465830909,5.534169091,ストレート
158,男,宇野昌磨（フィギュアスケート選手）,4.317370524,5.682629476,ストレート
159,男,出川哲朗,4.439214009,5.560785991,ストレート
159,男,知念侑李（Hey!Say!JUMP）,4.784859072,5.215140928,ストレート
160,男,鍵山優真（フィギュアスケート選手）,4.231270904,5.768729096,ストレート
161,男,西川貴教,4.388657581,5.611342419,
161,男,タモリ,4.152346652,5.847653348,
162,男,具志堅用高,4.540657528,5.459342472,
164,男,ウジ（SEVENTEEN）,4.472703017,5.527296983,ストレート
164,男,安田章大（関ジャニ∞）,4.408774609,5.591225391,ナチュラル
164,男,山田涼介（Hey!Say!JUMP）,4.497229972,5.502770028,ウェーブ
165,男,浜田雅功（ダウンタウン）,4.641595892,5.358404108,ウェーブ
166,男,滝沢秀明,4.607665412,5.392334588,ストレート
166,男,大野智（嵐）,4.372269552,5.627730448,ストレート
167,男,,,,
167,男,岸優太,4.372127051,5.627872949,ナチュラル
167,男,柳沢慎吾,4.421070904,5.578929096,ウェーブ
168,男,長田庄平（チョコレートプラネット）,4.591175176,5.408824824,ストレート
168,男,,,,
168,男,二宮和也（嵐）,4.249807112,5.750192888,ウェーブ
168,男,星野源,4.169702445,5.830297555,ウェーブ
169,男,山田孝之,4.314768008,5.685231992,ストレート
169,男,,,,
169,男,若林正恭（オードリー）,4.457289146,5.542710854,ウェーブ
170,男,村上信五（関ジャニ∞）,4.458883744,5.541116256,ストレート
170,男,中村倫也,4.190790138,5.809209862,ストレート
170,男,草彅剛,4.533241871,5.466758129,ナチュラル
170,男,佐藤健,4.339814455,5.660185545,ウェーブ
171,男,吉沢亮,4.391815913,5.608184087,ストレート
171,男,平野紫耀,4.317059079,5.682940921,ストレート
171,男,櫻井翔（嵐）,4.555593159,5.444406841,ストレート
171,男,亀梨和也（KAT-TUN）,4.0573577,5.9426423,ウェーブ
172,男,ELLY（三代目 J Soul Brothers）,4.177831352,5.822168648,ストレート
172,男,ディノ（SEVENTEEN）,3.737530487,6.262469513,ナチュラル
172,男,羽生結弦,4.164500786,5.835499214,ウェーブ
172,男,明石家さんま,4.253620439,5.746379561,ウェーブ
172,男,松本潤（嵐）,4.67455839,5.32544161,ウェーブ
